CUSTOMER	DAY	LOCATION	LOCATION2	FROM	NOTE	BOOK_ID	NOTE2	BOOK_TYPE	CLASS_ID	CLASS_NAME	AMOUNT	LENGTH	LENGTH2	PAGES	PAGES2	BOOK_NAME
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	347292524	1	1	12	青春	1	1	0	1	0	当乖乖女碰上邪魅小子
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	347367359	1	1	12	青春	1	1	0	1	0	刁蛮姑娘PK校园恶少
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	348176700	1	1	12	青春	1	1	0	1	0	混混校草VS冷血校花
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	348276995	1	1	13	穿越	1	1	0	1	0	穿越之绝色红颜乱天下
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	348289317	1	1	10	言情	1	1	0	1	0	霸少的契约新娘
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	348354545	1	1	11	都市	1	1	0	1	0	黑道小姐的恋爱复习题
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	348358011	1	1	12	青春	2	2	0	2	0	当黑道恶少遭遇恶魔女
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	348368158	1	1	10	言情	901	23	878	6	181	不做丫鬟很多年：冷艳王妃
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	348379607	1	1	10	言情	670	86	584	24	94	天才宝贝霸情爹
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	348402201	1	1	12	青春	12	12	0	3	0	皇家黑道学院
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	348468783	1	1	12	青春	43	43	0	21	0	变身狂女：妖瞳王妃
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	348473340	1	1	12	青春	1	1	0	1	0	黑道学院拽公主
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	348480323	1	1	12	青春	1	1	0	1	0	夜银高中的四大帅哥
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	348579319	1	1	12	青春	1	1	0	1	0	拽少爷恋上黑道公主
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	348617065	1	1	12	青春	214	32	182	10	66	假面天使俊王子
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	348918047	1	1	13	穿越	903	55	848	25	98	绝色殿下闯祸妃
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	349106739	2	1	12	青春	1	1	0	1	0	笨丫头惹上拽恶少
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	349150953	2	1	13	穿越	1	1	0	1	0	傲妃难训：本宫来自现代
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	349154606	1	1	13	穿越	1	1	0	1	0	妖孽王爷的洋娃娃王妃
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	350014569	1	1	10	言情	1	1	0	1	0	冷酷总裁的逃婚女佣
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	350460966	2	1	10	言情	1	1	0	1	0	神秘王爷的宠妃
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	351305475	1	1	13	穿越	2	2	0	1	0	惹上腹黑王爷：冒牌王妃
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	351397012	1	1	13	穿越	2	2	0	1	0	错嫁暴君：别惹面具皇妃
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	352394767	1	1	10	言情	1	1	0	1	0	蒙古王的宠妃
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	352785104	1	1	13	穿越	1	1	0	1	0	我的俏皮王妃
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	353316243	1	1	10	言情	1	1	0	1	0	颜魅天下：百变俏妖姬
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	353501658	1	1	13	穿越	1	1	0	1	0	妖娆俏皇妃（上）
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	354285981	2	1	12	青春	1	1	0	1	0	守护天使的堕落恶魔团
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	354511716	1	1	13	穿越	1	1	0	1	0	爆笑穿越：王爷何必太绝情
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	354532406	1	1	10	言情	1	1	0	1	0	天赐宝宝：剩女太逍遥
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	354793369	1	1	10	言情	64	0	64	0	6	买醉公主：燃情灼爱
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	355036101	2	1	13	穿越	2	2	0	1	0	爱妃笑一个：摄政王的冷妃
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	355215769	1	1	13	穿越	2	2	0	1	0	王妃不乖：独宠倾城妃
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	355216243	1	1	13	穿越	1	1	0	1	0	嚣张妃子：女人，朕就宠你
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	355345871	1	1	13	穿越	1	1	0	1	0	倾城丑王妃
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	355478559	1	1	13	穿越	1	1	0	1	0	霉女穿越记之乞丐王妃
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	355633032	2	1	12	青春	4	4	0	1	0	冷公主的霸道帅老公
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	355731844	2	1	10	言情	1	1	0	1	0	一纸契约：偷渡新娘
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	356183621	1	1	12	青春	2	2	0	2	0	至尊高校：冷血少女变身记
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	356302132	2	1	13	穿越	1	1	0	1	0	和亲皇后
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	356394265	1	1	12	青春	66	66	0	28	0	贵族少爷们，请小心
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	356429062	2	1	13	穿越	1	1	0	1	0	倾城笑：冷宫弃后
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	356438824	2	1	12	青春	2	2	0	1	0	我不是公主：恶魔的依恋
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	356763555	1	1	13	穿越	1	1	0	1	0	王妃太狂野：王爷，你敢娶我吗？
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	357067197	1	1	12	青春	1	1	0	1	0	首席校草爱上我：花样女生
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	357067533	1	1	12	青春	1	1	0	1	0	不良校花从良：天使有点坏
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	357310948	1	1	13	穿越	1	1	0	1	0	粉嫩皇后是神偷：皇上要淡定
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	357442491	2	1	10	言情	1	1	0	1	0	CEO的替身情人
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	357630949	1	1	13	穿越	1	1	0	1	0	伺寝丫环：皇上，奴婢有喜了
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	357658913	2	1	13	穿越	1	1	0	1	0	爱妃难宠：王爷，请自重
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	357670729	2	1	14	历史	1	1	0	1	0	鹰神之子
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	357859147	2	1	13	穿越	1	1	0	1	0	绝色痞后：驯服妖孽皇帝
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	358203841	2	1	10	言情	1	1	0	1	0	豪门掠爱：吻你上了瘾
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	358303125	1	1	12	青春	2	2	0	1	0	调教拽丫头
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	358959125	1	1	13	穿越	1	1	0	1	0	妃常霸道：本宫代号绝杀
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	358979504	1	1	13	穿越	1	1	0	1	0	潮女穿越：玩死皇上不手软
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	358991931	2	1	10	言情	1	1	0	1	0	一夜孽情：吻别豪门老公
297017f0d704830c05774f455c5919e3	201106	200	756	1	12900	359161088	2	1	13	穿越	1	1	0	1	0	恃宠而娇：指定娃娃王妃
297017f0d704830c05774f455c5919e3	201106	200	756	1	39009	348617065	1	1	12	青春	14	14	0	5	0	假面天使俊王子
297017f0d704830c05774f455c5919e3	201106	200	756	1	39009	359326608	1	1	36	影视	1	1	0	1	0	迷雾围城
297017f0d704830c05774f455c5919e3	201106	200	756	1	61235	348918047	1	1	13	穿越	16	0	16	0	2	绝色殿下闯祸妃
c6970366fd1f9f6de96e80ca77151c58	201106	200	756	1	12654	357095130	2	1	29	仙侠	1	1	0	1	0	邪少至尊
fcd51818074819c811c9dd3f3b9eecbc	201106	200	756	1	30029	356289129	1	1	36	影视	4	4	0	2	0	刀见笑
ace38a66dcc1133cfec26d6adb870091	201106	200	756	1	0	359830176	1	1	11	都市	1	1	0	1	0	我的风尘岁月
ace38a66dcc1133cfec26d6adb870091	201106	200	756	4	12823	355854888	1	1	18	传记	10	10	0	3	0	太平公主
ace38a66dcc1133cfec26d6adb870091	201106	200	756	4	12823	357725790	2	1	15	玄幻	1	1	0	1	0	光脑武神
4ae62768ad286695948069b95a4ed36e	201106	200	756	1	12777	357287340	1	1	10	言情	1	1	0	1	0	情陷夜叉总裁
fa57634cdf8f3a99ff894cab54084452	201106	200	756	1	9675	3790441	2	1	11	都市	1	1	0	1	0	我的两个美女房客
f6461a358469ffa52dd9cd2e295dbc76	201106	200	756	1	12550	354661883	1	1	13	穿越	11	11	0	5	0	冷宫废后：穿越皇后最嚣张.
f6461a358469ffa52dd9cd2e295dbc76	201106	200	756	1	12550	358852438	2	1	15	玄幻	1	1	0	1	0	神斧
47fead3dfdd9b483b70f7ff925abc8a4	201106	200	756	1	0	354661883	1	1	13	穿越	27	27	0	14	0	冷宫废后：穿越皇后最嚣张.
47fead3dfdd9b483b70f7ff925abc8a4	201106	200	756	1	12542	354661883	1	1	13	穿越	2	2	0	2	0	冷宫废后：穿越皇后最嚣张.
ba6a3dde6168c6207a63b7f73559b0a7	201106	200	756	1	0	7389486	2	1	11	都市	65	65	0	15	0	极品农民
ba6a3dde6168c6207a63b7f73559b0a7	201106	200	756	1	0	26303427	2	1	21	官场	343	3	340	1	38	沉沦与升华
ba6a3dde6168c6207a63b7f73559b0a7	201106	200	756	1	0	46332553	1	1	15	玄幻	5	2	3	2	2	邪神炎史
ba6a3dde6168c6207a63b7f73559b0a7	201106	200	756	1	0	67915316	2	1	11	都市	20	20	0	6	0	我的美女房东
ba6a3dde6168c6207a63b7f73559b0a7	201106	200	756	1	0	349407522	2	1	11	都市	58	44	14	21	6	办公室来了个极品女同事
